NAME,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,playerid
Neftali Feliz,Rangers,4.2,1.72,-4.12, , , , ,-2.95,-2.5, , ,0.43, , ,18
John McDonald,Phillies,0.1, , , , , , , , , , ,-2.28, ,-20.63,395
Duke Welker,Pirates,1.1,1.76, ,5.3, , , ,9.36,-4.56, , , , , ,792
Blake Wood,Indians,1.1,-0.67, , , , , ,-1.78, , , ,-3.56, , ,1345
Jamey Carroll,Twins,1, , , , , , , , , , ,10.46, ,0.47,1591
Chris Narveson,Brewers,2,5.41,0.16,6.81, , , , ,-3.56, , ,1.02, , ,2141
Ryan Raburn,Indians,1,22.71, ,-4.06, , , ,-3.56, , , ,6.23, , ,2218
Skip Schumaker,Dodgers,2,-2.98, ,-0.99, , , , ,-4.49, , ,-3.43, ,-3.56,3704
Everett Teaford,Royals,0.2,11.63,-6.15, , , , ,-16.32,2.02, , , , , ,3732
Enny Romero,Rays,4.2,0.84,-3.4, , , , ,15.58,0, , ,4.58, , ,4001
Rafael Dolis,Cubs,5,-2.12,4.13, , , , ,1.03, , , , , , ,4185
Matt Shoemaker,Angels,5,-3.6,9.61,3.22, , , ,5.71,3.79, , ,4.87, , ,4776
Clay Rapada,Indians,2, , , , , ,3.01,2.36, , , ,-48.39, , ,4831
Alberto Gonzalez,Yankees,0.1, , , , , , , , , , ,4.86, , ,4906
Wilmer Font,Rangers,1.1,-0.01, , , , , ,-5.5, , , ,1.19, , ,5257
Francisley Bueno,Royals,8.1,3.51,0.94, , , , ,5.23, , , ,6.1, , ,5980
David Murphy,Rangers,1, , , , , , , ,1.03, , ,0.03, , ,6035
Logan Kensing,Rockies,0.2, ,4.5, , , , ,-3.88,-7.07, , ,5.95, , ,6166
Donnie Joseph,Royals,5.2,-0.13,0.99, , , , ,1.7, , , , , , ,6491
Jake Elmore,Astros,1, , , , , , , ,0, , ,7.78, ,1.55,7290
Matt Daley,Yankees,6,5.21,6.25, , , , , ,0.86, , ,-22.64, , ,7952
Rob Johnson,Cardinals,0.1,7.55, , , , , , , , , ,4.55, , ,8029
Josh Harrison,Pirates,0.1, , , , , , , , , , , , ,6.07,8202
