"","count","count.value","year"
"1","0-0",0,2015
"2","0-1",-0.035,2015
"3","1-0",0.036,2015
"4","2-0",0.094,2015
"5","3-0",0.185,2015
"6","0-2",-0.085,2015
"7","1-1",-0.016,2015
"8","2-1",0.017,2015
"9","3-1",0.135,2015
"10","1-2",-0.076,2015
"11","2-2",-0.027,2015
"12","3-2",0.051,2015
"13","0-0",0,2014
"14","0-1",-0.035,2014
"15","1-0",0.036,2014
"16","2-0",0.085,2014
"17","3-0",0.17,2014
"18","0-2",-0.089,2014
"19","1-1",-0.015,2014
"20","2-1",0.018,2014
"21","3-1",0.12,2014
"22","1-2",-0.072,2014
"23","2-2",-0.022,2014
"24","3-2",0.052,2014
"25","0-0",0,2013
"26","0-1",-0.035,2013
"27","1-0",0.037,2013
"28","2-0",0.088,2013
"29","3-0",0.18,2013
"30","0-2",-0.087,2013
"31","1-1",-0.012,2013
"32","2-1",0.021,2013
"33","3-1",0.126,2013
"34","1-2",-0.071,2013
"35","2-2",-0.023,2013
"36","3-2",0.052,2013
