mlb_id,mlb_name,bp_id,fangraphs,fg_RE24,bp_ERA,bp_FIP,fg_xFIP,bp_cFIP,bp_DRA,fg_SIERA
592091,A.J. Achter,66919,11387,-5.5,6.75,6.25,4.6,103,5.61,3.98
150359,A.J. Burnett,493,512,8.72,3.18,3.39,3.55,96,4.47,3.65
595918,A.J. Cole,68086,11467,-6.51,5.79,2.95,3.42,95,5.97,3.27
454560,A.J. Ellis,47564,5677,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
456167,A.J. Griffin,65757,11132,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
543362,A.J. Jimenez,58320,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
150229,A.J. Pierzynski,1501,746,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
572041,A.J. Pollock,60932,9256,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
573109,A.J. Ramos,60504,8350,13.96,2.3,3.03,3.24,82,3.02,2.73
519263,A.J. Schugel,65910,11432,-8.27,5,6.61,5.17,118,11.54,4.51
571437,Aaron Altherr,59584,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
502578,Aaron Barrett,65829,11243,1.26,4.6,2.24,3.03,81,3.81,2.57
605156,Aaron Brooks,69523,12272,-12.36,6.67,4.82,4.47,109,6.29,4.39
543070,Aaron Crow,61058,10149,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
488811,Aaron Cunningham,49302,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
421685,Aaron Harang,932,1451,-16.08,4.86,4.86,4.99,121,4.49,4.87
543305,Aaron Hicks,57967,5297,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
431094,Aaron Hill,45430,6104,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
444836,Aaron Laffey,46279,6248,0.35,3.68,5.75,5.56,113,4.06,5.18
571901,Aaron Loup,60619,10343,-3.55,4.46,3.7,2.89,88,5.1,2.43
519145,Aaron Poreda,57147,4313,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
592717,Aaron Sanchez,67107,11490,7.38,3.22,4.58,4.27,115,4.29,4.43
457744,Aaron Thompson,49018,999,-1.98,5.01,3.88,4.93,111,3.63,4.85
501659,Abraham Almonte,50910,5486,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
543045,Adam Conley,70300,14457,0.07,3.76,3.83,4.21,100,4.95,3.98
594807,Adam Duvall,67744,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
594809,Adam Eaton,67746,11205,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
430945,Adam Jones,45435,6368,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
150456,Adam Kennedy,884,19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
425560,Adam LaRoche,31351,1904,0.42,0,1.1,2.61,101,1.28,1.64
571893,Adam Liberatore,66565,10637,-1.37,4.25,3.43,3.58,91,3.56,3.3
452252,Adam Lind,48037,8027,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
446192,Adam Moore,52441,9362,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
605388,Adam Morgan,70472,12580,-0.12,4.48,4.9,5.12,115,4.14,4.94
493603,Adam Ottavino,51434,1247,6.07,0,1.52,2.35,82,0.17,1.62
489267,Adam Rosales,49545,9682,-1.93,9,16.6,7.32,110,11.54,6.25
425794,Adam Wainwright,31361,2233,4.79,1.61,2.16,3.14,96,4.22,3.45
476589,Adam Warren,60759,9029,11.61,3.29,3.56,3.96,95,3.43,3.96
573244,Adam Wilk,60566,8421,0.1,4.5,10.6,5.61,104,11.2,3.96
592665,Addison Reed,67085,10586,-0.82,3.38,3.05,4.04,91,4.06,3.66
608365,Addison Russell,70633,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
