LG,TEAM,SIDE,Runs Factor
NL,NYM,RHB,97
AL,TB,LHB,101
AL,TB,RHB,92
AL,TEX,LHB,103
AL,TEX,RHB,95
AL,TOR,LHB,99
AL,TOR,RHB,106
NL,WSH,LHB,97
NL,WSH,RHB,97
AL,LAA,LHB,108
AL,LAA,RHB,96
NL,ARI,LHB,100
NL,ARI,RHB,102
NL,ATL,LHB,99
NL,ATL,RHB,94
AL,BAL,LHB,113
AL,BAL,RHB,98
AL,BOS,LHB,98
AL,BOS,RHB,100
AL,CWS,LHB,97
AL,CWS,RHB,105
AL,CLE,LHB,100
NL,CIN,RHB,97
NL,CIN,LHB,105
NL,CHC,RHB,107
NL,CHC,LHB,107
AL,CLE,RHB,94
NL,COL,RHB,108
NL,COL,LHB,105
AL,DET,RHB,106
AL,DET,LHB,109
AL,HOU,LHB,100
AL,HOU,RHB,103
AL,KC,LHB,105
AL,KC,RHB,103
NL,LAD,LHB,102
NL,LAD,RHB,95
NL,MIA,LHB,89
NL,MIA,RHB,104
NL,MIL,RHB,108
NL,MIL,LHB,102
AL,MIN,LHB,104
AL,MIN,RHB,101
AL,NYY,LHB,99
AL,NYY,RHB,113
NL,NYM,LHB,93
AL,OAK,RHB,103
AL,OAK,LHB,88
NL,PHI,LHB,104
NL,PHI,RHB,102
NL,PIT,LHB,92
NL,SD,LHB,98
NL,PIT,RHB,97
NL,SD,RHB,88
AL,SEA,LHB,96
AL,SEA,RHB,102
NL,SF,LHB,92
NL,SF,RHB,95
NL,STL,LHB,96
NL,STL,RHB,95
