,result,pa_result_value,year
1,HR,1.396,2015
2,S,0.434,2015
3,D,0.729,2015
4,T,1.006,2015
5,BB,0.29,2015
6,IBB,0.183,2015
7,HBP,0.309,2015
8,IP_OUT,-0.202,2015
9,K,-0.23,2015
10,FC,-0.307,2015
11,DP,-0.704,2015
12,TP,-1.547,2015
13,SH,0.322,2015
14,SF,0.374,2015
15,ROE,0.47,2015
16,SH_ROE,0.949,2015
17,SF_ROE,0.811,2015
18,BI,-0.257,2015
19,CI,0.297,2015
20,FI,NA,2015
21,NO_PLAY,NA,2015
22,HR,1.414,2014
23,S,0.418,2014
24,D,0.73,2014
25,T,1.042,2014
26,BB,0.263,2014
27,IBB,0.118,2014
28,HBP,0.277,2014
29,IP_OUT,-0.187,2014
30,K,-0.216,2014
31,FC,-0.256,2014
32,DP,-0.659,2014
33,TP,-1.419,2014
34,SH,0.32,2014
35,SF,0.373,2014
36,ROE,0.389,2014
37,SH_ROE,0.815,2014
38,SF_ROE,0.561,2014
39,BI,-0.308,2014
40,CI,0.341,2014
41,FI,NA,2014
42,NO_PLAY,NA,2014
43,HR,1.379,2013
44,S,0.432,2013
45,D,0.735,2013
46,T,1.02,2013
47,BB,0.279,2013
48,IBB,0.146,2013
49,HBP,0.288,2013
50,IP_OUT,-0.198,2013
51,K,-0.226,2013
52,FC,-0.269,2013
53,DP,-0.69,2013
54,TP,-1.232,2013
55,SH,0.335,2013
56,SF,0.341,2013
57,ROE,0.424,2013
58,SH_ROE,0.768,2013
59,SF_ROE,0.806,2013
60,BI,-0.282,2013
61,CI,0.263,2013
62,FI,NA,2013
63,NO_PLAY,NA,2013
